pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,default_flag,pl_refname,sy_refname,disc_pubdate,disc_year,discoverymethod,disc_locale,disc_facility,disc_instrument,disc_telescope,disc_refname,ra,rastr,dec,decstr,glon,glat,elon,elat,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbperstr,pl_orblpererr1,pl_orblper,pl_orblpererr2,pl_orblperlim,pl_orblperstr,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxstr,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbinclstr,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtperstr,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenstr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtstr,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepstr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolstr,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densstr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepstr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidstr,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurstr,sy_kmagstr,sy_umag,sy_umagerr1,sy_umagerr2,sy_umagstr,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_rmagstr,sy_imag,sy_imagerr1,sy_imagerr2,sy_imagstr,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_zmagstr,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w1magstr,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w2magstr,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w3magstr,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_w4magstr,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_gmagstr,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_gaiamagstr,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_tmagstr,pl_controv_flag,pl_tsystemref,st_metratio,st_spectype,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,sy_kepmagstr,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_rotpstr,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_projobliqstr,x,y,z,htm20,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampstr,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radjstr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radestr,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorstr,pl_ratdor,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,pl_trueobliqstr,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_icmagstr,rowupdate,pl_pubdate,st_refname,releasedate,dkin_flag,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorstr,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparstr,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_cmassjstr,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassestr,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_massjstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massestr,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassjstr,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassestr,pl_bmassprov,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinijstr,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msiniestr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffstr,st_met,st_meterr1,st_meterr2,st_metlim,st_metstr,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvstr,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_vsinstr,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumstr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggstr,st_age,st_ageerr1,st_ageerr2,st_agelim,st_agestr,st_mass,st_masserr1,st_masserr2,st_masslim,st_massstr,st_dens,st_denserr1,st_denserr2,st_denslim,st_densstr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radstr,ttv_flag,ptv_flag,tran_flag,rv_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pul_flag,soltype,sy_snum,sy_pnum,sy_mnum,cb_flag,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_nnotes,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmstr,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmrastr,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_pmdecstr,sy_plx,sy_plxerr1,sy_plxerr2,sy_plxstr,sy_dist,sy_disterr1,sy_disterr2,sy_diststr,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_bmagstr,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_vmagstr,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_jmagstr,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_hmagstr,sy_kmag,sy_kmagerr1,sy_kmagerr2
"pi Men c","c","HD 39091","HD 39091","HIP 26394","TIC 261136679","Gaia DR2 4623036865373793408",1,"<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2018-11",2018,"Transit","Space","Transiting Exoplanet Survey Satellite (TESS)","TESS CCD Array","0.1 m TESS Telescope","<a refstr=GANDOLFI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619L..10G/abstract target=ref>Gandolfi et al. 2018</a>",84.2992798,"05h37m11.83s",-80.4646041,"-80d27m52.57s",292.50808,-29.77608,273.90524,-76.01862,6.26790000,0.00046000,-0.00046000,0,"6.26790&plusmn;0.00046",,,,,,0.068390,0.000500,-0.000500,0,"0.06839&plusmn;0.00050",87.456,0.085,-0.076,0,"<div><span class="supersubNumber">87.456</span><span class="superscript">+0.085</span><span class="subscript">-0.076</span></div>",,,,,,0.000000,,,0,"0",1.16980000000e+03,2.80000000000e+00,-4.30000000000e+00,0,"<div><span class="supersubNumber">1169.8</span><span class="superscript">+2.8</span><span class="subscript">-4.3</span></div>",,,,,,309.00,29.00,-66.00,0,"<div><span class="supersubNumber">309</span><span class="superscript">+29</span><span class="subscript">-66</span></div>",2.97000,0.57000,-0.55000,0,"<div><span class="supersubNumber">2.97</span><span class="superscript">+0.57</span><span class="subscript">-0.55</span></div>",0.030000,,,0,"0.03",2458325.504000,0.001200,-0.000740,0,"<div><span class="supersubNumber">2458325.50400</span><span class="superscript">+0.00120</span><span class="subscript">-0.00074</span></div>",2.9530000,0.0470000,-0.0470000,0,"2.953&plusmn;0.047","4.241&plusmn;0.027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5128000,0.0019464,-0.0019464,"5.5128000&plusmn;0.0019464",5.1054000,0.0063000,-0.0063000,"5.1054&plusmn;0.0063",0,"BJD","[Fe/H]","G0 V",,,,,,,,,,,,,,,0.01645507154509650,0.16483759124801503,-0.98618345105360494,1068394155,1.580,0.260,-0.280,0,"<div><span class="supersubNumber">1.58</span><span class="superscript">+0.26</span><span class="subscript">-0.28</span></div>",0.182,0.004,-0.004,0,"0.1822&plusmn;0.0045",2.042,0.050,-0.050,0,"2.042&plusmn;0.050",0.01703,0.00025,-0.00023,0,"<div><span class="supersubNumber">0.01703</span><span class="superscript">+0.00025</span><span class="subscript">-0.00023</span></div>",13.380000,,,,,,,,,,"2018-11-12","2018-12","<a refstr=HUANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...868L..39H/abstract target=ref>Huang et al. 2018</a>","2018-11-15",0,0.260000,-0.260000,0,"13.38&plusmn;0.26",0.5900,0.0180,-0.0200,0,"<div><span class="supersubNumber">0.590</span><span class="superscript">+0.018</span><span class="subscript">-0.020</span></div>",,,,,,,,,,,0.01517,0.00264,-0.00271,0,"<div><span class="supersubNumber">0.0152</span><span class="superscript">+0.0026</span><span class="subscript">-0.0027</span></div>",4.82000,0.84000,-0.86000,0,"<div><span class="supersubNumber">4.82</span><span class="superscript">+0.84</span><span class="subscript">-0.86</span></div>",0.01517,0.00264,-0.00271,0,"<div><span class="supersubNumber">0.0152</span><span class="superscript">+0.0026</span><span class="subscript">-0.0027</span></div>",4.82000,0.84000,-0.86000,0,"<div><span class="supersubNumber">4.82</span><span class="superscript">+0.84</span><span class="subscript">-0.86</span></div>","Mass",,,,,,,,,,,6037.00,45.00,-45.00,0,"6037&plusmn;45",0.080,0.030,-0.030,0,"0.080&plusmn;0.030",,,,,,3.1400,0.5000,-0.5000,0,"3.14&plusmn;0.50",0.160,0.006,-0.006,0,"<div><span class="supersubNumber">0.1596</span><span class="superscript">+0.0060</span><span class="subscript">-0.0061</span></div>",4.42,0.03,-0.03,0,"4.42&plusmn;0.03",2.980,1.400,-1.300,0,"<div><span class="supersubNumber">2.98</span><span class="superscript">+1.40</span><span class="subscript">-1.30</span></div>",1.09,0.04,-0.04,0,"1.094&plusmn;0.039",1.1480,0.0650,-0.0650,0,"1.148&plusmn;0.065",1.10,0.02,-0.02,0,"1.100&plusmn;0.023",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,2,0,0,1,2,1,0,0,2,1094.0304816,0.1355957,-0.1355957,"1094.0304816&plusmn;0.1355957",311.1870000,0.1271390,-0.1271390,"311.187000&plusmn;0.127139",1048.8400000,0.1363150,-0.1363150,"1048.840000&plusmn;0.136315",54.7052000,0.0671310,-0.0671310,"54.705200&plusmn;0.067131",18.2702000,0.0226000,-0.0226000,"18.2702&plusmn;0.0226",6.2520000,0.0210000,-0.0210000,"6.252&plusmn;0.021",5.6500000,0.0300000,-0.0300000,"5.65&plusmn;0.03",4.8690000,0.2720000,-0.2720000,"4.869&plusmn;0.272",4.4240000,0.2260000,-0.2260000,"4.424&plusmn;0.226",4.2410000,0.0270000,-0.0270000
"WD 1856+534 b","b","WD 1856+534",,,"TIC 267574918","Gaia DR2 2146576589564898688",1,"<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200907282V/abstract target=ref>Vanderburg et al. 2020</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2020-09",2020,"Transit","Space","Transiting Exoplanet Survey Satellite (TESS)","TESS CCD Array","0.1 m TESS Telescope","<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200907282V/abstract target=ref>Vanderburg et al. 2020</a>",284.4156750,"18h57m39.76s",53.5090244,"+53d30m32.49s",83.49862,20.62284,305.35837,75.17654,1.40794050,0.00000110,-0.00000110,0,"1.4079405&plusmn;0.0000011",,,,,,0.020400,0.001200,-0.001200,0,"0.0204&plusmn;0.0012",88.778,0.059,-0.059,0,"88.778&plusmn;0.059",,,,,,0.000000,,,0,"0",1.63000000000e+02,1.40000000000e+01,-1.80000000000e+01,0,"<div><span class="supersubNumber">163</span><span class="superscript">+14</span><span class="subscript">-18</span></div>",,,,,,0.18,0.02,-0.02,0,"0.181&plusmn;0.018",,,,,,56.650000,0.180000,-0.180000,0,"56.65&plusmn;0.18",2458779.375083,0.000003,-0.000003,0,"2458779.3750828&plusmn;0.0000034",0.1333000,0.0004000,-0.0004000,0,"0.1333&plusmn;0.0004","15.548&plusmn;0.186",,,,,,,,,,,,,,,,,15.0110000,0.0270000,-0.0270000,"15.011&plusmn;0.027",15.1560000,0.0480000,-0.0480000,"15.156&plusmn;0.048",13.4040000,,,"13.404",9.6390000,,,"9.639",,,,,16.9580000,0.0009670,-0.0009670,"16.958000&plusmn;0.000967",16.3380000,0.0062000,-0.0062000,"16.3380&plusmn;0.0062",0,"BJD-TDB",,,,,,,,,,,,,,,,,0.14805250301721271,-0.57597221112875741,0.80395053850208242,1640738890,,,,,,0.928,0.089,-0.089,0,"0.928&plusmn;0.089",10.400,1.000,-1.000,0,"10.4&plusmn;1.0",7.28000,0.65000,-0.65000,0,"7.28&plusmn;0.65",336.000000,,,,,,,,,,"2020-12-10","2020-09","<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200907282V/abstract target=ref>Vanderburg et al. 2020</a>","2020-12-17",0,14.000000,-14.000000,0,"336&plusmn;14",7.1600,0.6500,-0.6500,0,"7.16&plusmn;0.65",,,,,,,,,,,13.80000,,,0,"&lt;13.8",4386.05400,,,0,"&lt;4386",13.80000,,,0,"&lt;13.8",4386.05400,,,0,"&lt;4386","Mass",,,,,,,,,,,4710.00,60.00,-60.00,0,"4710&plusmn;60",,,,,,,,,,,,,,,,,,,,,7.92,0.03,-0.03,0,"7.915&plusmn;0.030",7.930,2.070,-2.080,0,"<div><span class="supersubNumber">7.930</span><span class="superscript">+2.070</span><span class="subscript">-2.080</span></div>",0.52,0.06,-0.06,0,"0.518&plusmn;0.055",,,,,,0.01,0.00,-0.00,0,"0.01310&plusmn;0.00054",0,0,1,0,0,0,0,0,0,0,"Published Confirmed",3,1,0,0,0,0,0,0,0,4,246.4195939,0.1479555,-0.1479555,"246.4195939&plusmn;0.1479555",240.7590000,0.1482050,-0.1482050,"240.759000&plusmn;0.148205",-52.5140000,0.1426110,-0.1426110,"-52.514000&plusmn;0.142611",40.3983000,0.0704537,-0.0704537,"40.3983000&plusmn;0.0704537",24.7359000,0.0435000,-0.0433000,"<div><span class="supersubNumber">24.7359</span><span class="superscript">+0.0435</span><span class="subscript">-0.0433</span></div>",,,,,17.2440000,0.0460000,-0.0460000,"17.244&plusmn;0.046",15.6770000,0.0550000,-0.0550000,"15.677&plusmn;0.055",15.4290000,0.0940000,-0.0940000,"15.429&plusmn;0.094",15.5480000,0.1860000,-0.1860000
"WASP-80 b","b","WASP-80",,,"TIC 243921117","Gaia DR2 4223507222112425344",1,"<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2013-03",2012,"Transit","Ground","SuperWASP","iKon-L CCD Camera","Canon 200mm f/1.8L","<a refstr=TRIAUD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..80T/abstract target=ref> Triaud et al. 2013 </a>",303.1667996,"20h12m40.03s",-2.1444369,"-02d08m39.97s",40.51938,-19.00928,304.94518,17.36198,3.06785234,0.00000083,-0.00000079,0,"<div><span class="supersubNumber">3.06785234</span><span class="superscript">+0.00000083</span><span class="subscript">-0.00000079</span></div>",120.0000,94.0000,-21.0000,0,"<div><span class="supersubNumber">94.0</span><span class="superscript">+120.0</span><span class="subscript">-21.0</span></div>",0.034400,0.001000,-0.001100,0,"<div><span class="supersubNumber">0.0344</span><span class="superscript">+0.0010</span><span class="subscript">-0.0011</span></div>",89.020,0.110,-0.100,0,"<div><span class="supersubNumber">89.02</span><span class="superscript">+0.11</span><span class="subscript">-0.10</span></div>",,,,,,0.002000,0.010000,-0.002000,0,"<div><span class="supersubNumber">0.0020</span><span class="superscript">+0.0100</span><span class="subscript">-0.0020</span></div>",8.25000000000e+02,1.90000000000e+01,-1.90000000000e+01,0,"825&plusmn;19",0.045500,0.010000,-0.010000,0,"0.0455&plusmn;0.0100",,,,,,0.71700,0.03900,-0.03200,0,"<div><span class="supersubNumber">0.717</span><span class="superscript">+0.039</span><span class="subscript">-0.032</span></div>",2.937000,0.013000,-0.013000,0,"2.937&plusmn;0.013",2456487.425006,0.000023,-0.000025,0,"<div><span class="supersubNumber">2456487.425006</span><span class="superscript">+0.000023</span><span class="subscript">-0.000025</span></div>",2.1310000,0.0031000,-0.0034000,0,"<div><span class="supersubNumber">2.1310</span><span class="superscript">+0.0031</span><span class="subscript">-0.0034</span></div>","8.351&plusmn;0.022",,,,,,,,,,,,,,,,,8.2960000,0.0240000,-0.0240000,"8.296&plusmn;0.024",8.3220000,0.0200000,-0.0200000,"8.322&plusmn;0.020",8.2230000,0.0240000,-0.0240000,"8.223&plusmn;0.024",8.1620000,0.2900000,-0.2900000,"8.162&plusmn;0.290",,,,,11.2730000,0.0008240,-0.0008240,"11.273000&plusmn;0.000824",10.3622000,0.0073005,-0.0073005,"10.3622000&plusmn;0.0073005",0,"BJD-UTC","[Fe/H]",,,,,,,,,,,-14.00,15.00,-14.00,0,"<div><span class="supersubNumber">-14</span> <span class="superscript">+15</span><span class="subscript">-14</span></div>",0.54669512981771640,-0.83649523155286398,-0.03741874694469218,1061024529,109.000,3.100,-4.400,0,"<div><span class="supersubNumber">109.0</span><span class="superscript">+3.1</span><span class="subscript">-4.4</span></div>",0.999,0.030,-0.031,0,"<div><span class="supersubNumber">0.9990</span><span class="superscript">+0.0300</span><span class="subscript">-0.0310</span></div>",11.198,0.336,-0.347,0,"<div><span class="supersubNumber">11.20</span><span class="superscript">+0.34</span><span class="subscript">-0.35</span></div>",0.17137,0.00037,-0.00039,0,"<div><span class="supersubNumber">0.17137</span><span class="superscript">+0.00037</span><span class="subscript">-0.00039</span></div>",12.630000,,,,,,,,,,"2015-04-16","2015-07","<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>","2015-04-16",0,0.080000,-0.130000,0,"<div><span class="supersubNumber">12.63</span><span class="superscript">+0.08</span><span class="subscript">-0.13</span></div>",0.2150,0.0200,-0.0220,0,"<div><span class="supersubNumber">0.215</span><span class="superscript">+0.020</span><span class="subscript">-0.022</span></div>",,,,,,,,,,,0.53800,0.03500,-0.03600,0,"<div><span class="supersubNumber">0.538</span><span class="superscript">+0.035</span><span class="subscript">-0.036</span></div>",170.99254,11.12405,-11.44188,0,"<div><span class="supersubNumber">171</span><span class="superscript">+11</span><span class="subscript">-11</span></div>",0.53800,0.03500,-0.03600,0,"<div><span class="supersubNumber">0.538</span><span class="superscript">+0.035</span><span class="subscript">-0.036</span></div>",170.99254,11.12405,-11.44188,0,"<div><span class="supersubNumber">171</span><span class="superscript">+11</span><span class="subscript">-11</span></div>","Mass",,,,,,,,,,,4143.00,92.00,-94.00,0,"<div><span class="supersubNumber">4143</span> <span class="superscript">+92</span><span class="subscript">-94</span> </div>",-0.130,0.150,-0.170,0,"<div><span class="supersubNumber">-0.13</span> <span class="superscript">+0.15</span><span class="subscript">-0.17</span> </div>",,,,,,1.2700,0.1400,-0.1700,0,"<div><span class="supersubNumber">1.27</span> <span class="superscript">+0.14</span><span class="subscript">-0.17</span> </div>",,,,,,4.66,0.01,-0.02,0,"<div><span class="supersubNumber">4.663</span> <span class="superscript">+0.015</span><span class="subscript">-0.016</span> </div>",,,,,,0.58,0.05,-0.05,0,"<div><span class="supersubNumber">0.577</span> <span class="superscript">+0.051</span><span class="subscript">-0.054</span> </div>",4.0500,0.0770,-0.1210,0,"<div><span class="supersubNumber">4.050</span> <span class="superscript">+0.077</span><span class="subscript">-0.121</span> </div>",0.59,0.02,-0.02,0,"<div><span class="supersubNumber">0.586</span> <span class="superscript">+0.017</span><span class="subscript">-0.018</span> </div>",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,1,0,0,0,0,0,2,58,0,142.0142820,0.0875154,-0.0875154,"142.0142820&plusmn;0.0875154",-132.7590000,0.0904741,-0.0904741,"-132.7590000&plusmn;0.0904741",-50.4292000,0.0633183,-0.0633183,"-50.4292000&plusmn;0.0633183",20.0565000,0.0464605,-0.0464605,"20.0565000&plusmn;0.0464605",49.7876000,0.1160500,-0.1160500,"49.78760&plusmn;0.11605",13.3420000,0.0550000,-0.0550000,"13.342&plusmn;0.055",11.8410000,0.0340000,-0.0340000,"11.841&plusmn;0.034",9.2180000,0.0230000,-0.0230000,"9.218&plusmn;0.023",8.5130000,0.0260000,-0.0260000,"8.513&plusmn;0.026",8.3510000,0.0220000,-0.0220000
"WASP-69 b","b","WASP-69",,,"TIC 248853232","Gaia DR2 6910753016653587840",1,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>","2014-12",2014,"Transit","Ground","SuperWASP","iKon-L CCD Camera","Canon 200mm f/1.8L","<a refstr=ANDERSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.445.1114A/abstract target=ref>Anderson et al. 2014</a>",315.0259661,"21h00m06.23s",-5.0948570,"-05d05m41.49s",43.85785,-30.82613,315.96759,11.45250,3.86814000,0.00000200,-0.00000200,0,"3.868140&plusmn;0.000002",,,,,,,,,,,86.710,0.200,-0.200,0,"86.71&plusmn;0.20",,,,,,0.000000,,,0,"0.0",,,,,,,,,,,,,,,,,,,,,1.800000,0.042000,-0.042000,0,"1.800&plusmn;0.042",,,,,,,,,,,"7.459&plusmn;0.024",,,,,,,,,,,,,,,,,7.3150000,0.0360000,-0.0360000,"7.315&plusmn;0.036",7.4410000,0.0190000,-0.0190000,"7.441&plusmn;0.019",7.4090000,0.0180000,-0.0180000,"7.409&plusmn;0.018",7.3940000,0.1430000,-0.1430000,"7.394&plusmn;0.143",,,,,9.4846600,0.0004750,-0.0004750,"9.484660&plusmn;0.000475",8.8628000,0.0060000,-0.0060000,"8.8628&plusmn;0.0060",0,,"[Fe/H]",,,,,,,,,,,,,,,,0.70463214916919248,-0.70399376839746597,-0.08880488958801763,-805884556,38.100,2.400,-2.400,0,"38.1&plusmn;2.4",1.110,0.040,-0.040,0,"1.11&plusmn;0.04",12.442,0.448,-0.448,0,"12.4&plusmn;0.4",,,,,,12.000000,,,,,,,,,,"2018-04-25","2017-03","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","2018-04-26",0,0.460000,-0.460000,0,"12.00&plusmn;0.46",,,,,,,,,,,,,,,,0.29000,0.03000,-0.03000,0,"0.29&plusmn;0.03",92.17070,9.53490,-9.53490,0,"92&plusmn;10",0.29000,0.03000,-0.03000,0,"0.29&plusmn;0.03",92.17070,9.53490,-9.53490,0,"92&plusmn;10","Mass",,,,,,,,,,,4700.00,50.00,-50.00,0,"4700&plusmn;50",0.150,,,0,"0.15",,,,,,,,,,,,,,,,4.50,0.15,-0.15,0,"4.50&plusmn;0.15",,,,,,0.98,0.14,-0.14,0,"0.980&plusmn;0.140",2.1800,0.2500,-0.2500,0,"2.18&plusmn;0.25",0.86,0.03,-0.03,0,"0.86&plusmn;0.03",0,0,1,1,0,0,0,0,0,0,"Published Confirmed",1,1,0,0,0,0,0,0,30,0,99.3197205,0.0485729,-0.0485729,"99.3197205&plusmn;0.0485729",33.6756000,0.0800677,-0.0800677,"33.6756000&plusmn;0.0800677",-93.4364000,0.0428141,-0.0428141,"-93.4364000&plusmn;0.0428141",19.9871000,0.0523379,-0.0523379,"19.9871000&plusmn;0.0523379",49.9605000,0.1320000,-0.1313000,"<div><span class="supersubNumber">49.9605</span><span class="superscript">+0.1320</span><span class="subscript">-0.1313</span></div>",10.9350000,0.0710000,-0.0710000,"10.935&plusmn;0.071",9.8730000,0.0060000,-0.0060000,"9.873&plusmn;0.006",8.0320000,0.0230000,-0.0230000,"8.032&plusmn;0.023",7.5430000,0.0230000,-0.0230000,"7.543&plusmn;0.023",7.4590000,0.0240000,-0.0240000
